manufacturer,model,engine_size,fuel_type,year_of_manufacture,mileage,price
VW,Golf,1.8,Diesel,1993,195647,1639.0
VW,Passat,1.4,Petrol,1992,241231,1065.0
VW,Polo,1.4,Petrol,2006,136768,4523.0
Toyota,Prius,1.0,Hybrid,2003,94051,7620.0
BMW,Z4,2.2,Petrol,2011,71650,19949.0
Toyota,RAV4,2.4,Hybrid,2010,47102,30291.0
VW,Polo,1.6,Petrol,2013,72373,12406.0
VW,Polo,1.0,Petrol,2008,149092,3955.0
Ford,Focus,1.8,Hybrid,1998,166094,4012.0
VW,Passat,1.6,Diesel,2021,13947,46784.0
Toyota,Yaris,1.2,Petrol,2007,90189,7182.0
Ford,Focus,1.6,Petrol,2004,77006,9322.0
Toyota,RAV4,2.0,Petrol,2015,33268,34938.0
VW,Polo,1.0,Diesel,2004,98432,4708.0
VW,Polo,2.0,Petrol,2007,103509,7462.0
VW,Passat,2.0,Diesel,2012,68617,20665.0
VW,Golf,1.6,Petrol,2017,34127,24458.0
Toyota,Prius,1.8,Hybrid,2015,47723,31029.0
Toyota,Yaris,1.0,Hybrid,2002,89335,5672.0
Ford,Focus,1.0,Diesel,1992,127216,2404.0
Ford,Focus,1.8,Diesel,1989,247492,936.0
BMW,Z4,2.4,Petrol,2014,72078,25377.0
VW,Golf,1.4,Diesel,2018,17262,28240.0
VW,Passat,1.4,Diesel,2014,60836,20791.0
Toyota,RAV4,1.8,Hybrid,1991,200239,2287.0
Ford,Fiesta,1.2,Petrol,2016,22397,17394.0
Ford,Focus,2.0,Petrol,1989,252129,901.0
Toyota,RAV4,2.2,Hybrid,1994,148970,4777.0
Toyota,RAV4,2.4,Hybrid,2016,27057,50878.0
Ford,Fiesta,1.4,Petrol,1997,36377,4886.0
Ford,Focus,1.4,Petrol,2018,20379,31478.0
Ford,Fiesta,1.4,Petrol,2009,71804,8694.0
VW,Passat,1.8,Petrol,2017,56833,28138.0
Ford,Focus,1.0,Petrol,2009,68337,10904.0
Ford,Fiesta,1.0,Petrol,1994,189671,1075.0
Porsche,718 Cayman,2.0,Petrol,1994,208180,2502.0
VW,Golf,1.6,Hybrid,2008,114135,9384.0
Ford,Mondeo,1.6,Diesel,2004,63928,10586.0
Toyota,Yaris,1.2,Petrol,1998,193220,1727.0
BMW,Z4,2.0,Petrol,2017,20568,38804.0
Toyota,RAV4,2.0,Hybrid,1990,212399,2025.0
VW,Polo,1.6,Petrol,2006,121931,5433.0
VW,Golf,1.4,Petrol,2015,37278,19654.0
Porsche,Cayenne,3.5,Diesel,2007,52348,32850.0
Ford,Focus,1.6,Diesel,1992,122670,3151.0
Toyota,Yaris,1.0,Petrol,2008,66081,8268.0
Ford,Focus,1.0,Petrol,1988,115628,1918.0
VW,Golf,2.0,Petrol,2008,74575,11621.0
VW,Passat,1.8,Petrol,2010,84889,14622.0
Toyota,Prius,1.0,Hybrid,1997,124306,4073.0
Toyota,Prius,1.8,Hybrid,2003,124222,8158.0
Toyota,RAV4,2.0,Hybrid,2013,77371,27737.0
VW,Passat,1.6,Diesel,2007,129620,8495.0
BMW,M5,4.4,Petrol,2010,52576,53877.0
VW,Polo,1.0,Petrol,1999,196859,1447.0
Ford,Mondeo,1.8,Diesel,2009,84654,13617.0
VW,Passat,1.8,Diesel,1997,174462,3203.0
VW,Polo,1.0,Diesel,2011,81875,8446.0
VW,Passat,2.0,Diesel,1998,140213,4792.0
VW,Golf,1.8,Petrol,2016,44179,22855.0
VW,Passat,1.6,Diesel,2019,27981,37891.0
VW,Golf,1.6,Petrol,2000,95625,5261.0
Toyota,Yaris,1.0,Hybrid,2009,88623,9090.0
VW,Polo,2.0,Petrol,1997,201237,1723.0
Toyota,RAV4,1.8,Hybrid,1998,168222,4808.0
Ford,Focus,1.6,Petrol,2014,58355,20547.0
BMW,M5,5.0,Petrol,2016,50703,86691.0
